,Item,order,response1,response2,response3,trialnumber,userCode,condition,verb,r1,r2,c1,c2
1,1,undefined,FAUX,Enregistrement 1,4,17,OLT28,NC,aimer,FAUX,Enregistrement 1,1,1
2,1,undefined,FAUX,Enregistrement 1,3,25,UUA3,NC,aimer,FAUX,Enregistrement 1,1,1
3,1,undefined,FAUX,Enregistrement 1,4,21,EQH1,NC,aimer,FAUX,Enregistrement 1,1,1
4,1,undefined,FAUX,Enregistrement 2,2,25,AEX2,NC,aimer,FAUX,Enregistrement 1,1,0
5,1,undefined,FAUX,Enregistrement 1,5,29,WXS7,NC,aimer,FAUX,Enregistrement 1,1,1
6,1,undefined,FAUX,Enregistrement 2,2,29,XHJ4,NC,aimer,FAUX,Enregistrement 1,1,0
7,1,undefined,FAUX,Enregistrement 1,5,33,LVE32,NC,aimer,FAUX,Enregistrement 1,1,1
8,1,undefined,FAUX,Enregistrement 2,4,25,TVY31,NC,aimer,FAUX,Enregistrement 1,1,0
9,1,undefined,FAUX,Enregistrement 1,3,21,ZBB23,NC,aimer,FAUX,Enregistrement 1,1,1
10,1,undefined,VRAI,Enregistrement 2,3,17,CCU15,NC,aimer,FAUX,Enregistrement 1,0,0
11,1,undefined,FAUX,Enregistrement 2,3,33,BSW19,NC,aimer,FAUX,Enregistrement 1,1,0
12,1,undefined,FAUX,Enregistrement 1,3,25,NLP40,NC,aimer,FAUX,Enregistrement 1,1,1
13,1,undefined,VRAI,Enregistrement 2,5,33,IEI16,NC,aimer,FAUX,Enregistrement 1,0,0
14,1,undefined,FAUX,Enregistrement 1,3,9,NNH5,NC,aimer,FAUX,Enregistrement 1,1,1
15,1,undefined,FAUX,Enregistrement 1,5,21,TAO36,NC,aimer,FAUX,Enregistrement 1,1,1
16,1,undefined,FAUX,Enregistrement 2,2,21,VBJ34,NC,aimer,FAUX,Enregistrement 1,1,0
17,1,undefined,FAUX,Enregistrement 2,5,17,GZM25,NC,aimer,FAUX,Enregistrement 1,1,0
18,1,undefined,FAUX,Enregistrement 1,4,17,IED39,NC,aimer,FAUX,Enregistrement 1,1,1
19,1,undefined,FAUX,Enregistrement 1,5,33,QCG14,NC,aimer,FAUX,Enregistrement 1,1,1
20,1,undefined,FAUX,Enregistrement 2,4,9,FCP17,NC,aimer,FAUX,Enregistrement 1,1,0
