"","IP","Item","X_","experimentName","order","response1","response2","response3","sound1","sound2","time","trialnumber","userCode","userFileName","view"
"1","37.171.135.60","undefined",1523292770684,"pilot","undefined","","",NA,NA,NA,NA,3,"IKB2",2,"undefined"
"2","90.104.80.185","undefined",1523292773240,"pilot","undefined","","",NA,NA,NA,NA,3,"AEX2",2,"undefined"
"3","37.171.135.60","57",1523292804010,"pilot","1","VRAI","Enregistrement 1",5,1,1,NA,4,"IKB2",2,"confidence.ejs"
"4","90.104.80.185","57",1523292807315,"pilot","1","VRAI","Enregistrement 1",5,1,1,NA,4,"AEX2",2,"confidence.ejs"
"5","37.171.135.60","58",1523292829810,"pilot","1","FAUX","Enregistrement 1",5,1,1,NA,5,"IKB2",2,"confidence.ejs"
"6","90.104.80.185","58",1523292833018,"pilot","1","FAUX","Enregistrement 1",4,1,1,NA,5,"AEX2",2,"confidence.ejs"
"7","37.171.135.60","59",1523292852783,"pilot","1","VRAI","Enregistrement 1",5,1,1,NA,6,"IKB2",2,"confidence.ejs"
"8","90.104.80.185","59",1523292858706,"pilot","1","VRAI","Enregistrement 1",5,1,1,NA,6,"AEX2",2,"confidence.ejs"
"9","90.104.80.185","60",1523292900391,"pilot","1","FAUX","Enregistrement 2",2,2,2,NA,7,"AEX2",2,"confidence.ejs"
"10","90.104.80.185","3",1523292936950,"pilot","undefined","VRAI","Enregistrement 1",1,2,2,NA,9,"AEX2",2,"stimulus.ejs"
"11","90.104.80.185","30",1523292965175,"pilot","undefined","FAUX","Enregistrement 1",2,2,2,NA,10,"AEX2",2,"stimulus.ejs"
"12","90.104.80.185","18",1523293003368,"pilot","undefined","VRAI","Enregistrement 1",2,1,1,NA,11,"AEX2",2,"stimulus.ejs"
"13","90.104.80.185","44",1523293026215,"pilot","undefined","FAUX","Enregistrement 1",1,1,1,NA,12,"AEX2",2,"stimulus.ejs"
"14","90.104.80.185","5",1523293052005,"pilot","undefined","FAUX","Enregistrement 1",4,1,1,NA,13,"AEX2",2,"stimulus.ejs"
"15","90.104.80.185","35",1523293079205,"pilot","undefined","VRAI","Enregistrement 1",1,2,2,NA,14,"AEX2",2,"stimulus.ejs"
"16","90.104.80.185","19",1523293117520,"pilot","undefined","FAUX","Enregistrement 2",2,1,1,NA,15,"AEX2",2,"stimulus.ejs"
"17","90.104.80.185","49",1523293139223,"pilot","undefined","FAUX","Enregistrement 1",1,1,1,NA,16,"AEX2",2,"stimulus.ejs"
"18","90.104.80.185","4",1523293162360,"pilot","undefined","VRAI","Enregistrement 2",4,1,1,NA,17,"AEX2",2,"stimulus.ejs"
"19","90.104.80.185","33",1523293181580,"pilot","undefined","FAUX","Enregistrement 1",1,1,1,NA,18,"AEX2",2,"stimulus.ejs"
